1,zyrtec,cetirizine,10mg,b/10,MEDICAMENT
2,virlix,cetirizine,10mg,b/15,MEDICAMENT
3,cerin, cetirizine dihydrochlorhyde,10mg,b/10,MEDICAMENT
4,zeran, cetirizine,10mg,b/10,MEDICAMENT
5,alerid,cetirizine,10mg,b/10,MEDICAMENT
6,cetryn,cetirizine,10mg,b/10,MEDICAMENT
7,histarizine,   cetirizine,10mg,b/10,MEDICAMENT
8,histagan,  dexchlorpheniramine maleate,2,b/20,MEDICAMENT
9,polaramine,dexchlorpheniramine maleate,2,b/30,MEDICAMENT
10,claramine, dexchlorpheniramine maleate,2,b/30,MEDICAMENT
11,polaramine,dexchlorpheniramine maleate,6,b/30,MEDICAMENT
12,histagan,  dexchlorpheniramine maleate,"0,5mg/5ml",fl/125 ml,MEDICAMENT
13,polaramine,dexchlorpheniramine maleate,"0,5",fl/125 ml,MEDICAMENT
14,dexchlorpheniramine,   dexchlorpheniramine maleate,"0,5",fl/125 ml,MEDICAMENT
15,doramine,  dexchlorpheniramine,"0,5mg/cac",fl/125ml,MEDICAMENT
16,natazine,  mequitazine,5mg,b/14,MEDICAMENT
17,primalan,  mequitazine,5,b/14,MEDICAMENT
18,mequitazine logogen,   mequitazine,5,b/30,MEDICAMENT
19,quitadrill,mequitazine,5,b/14,MEDICAMENT
20,hypostamine,   tritoqualine,100,b/20,MEDICAMENT
21,restamine, loratadine,10mg,b/10,MEDICAMENT
22,loratine,  loratadine,10mg,b/20,MEDICAMENT
23,allertine, loratadine,10mg,b/20,MEDICAMENT
24,clarityne, loratadine,10mg,b/10,MEDICAMENT
25,loradine,  loratadine,10mg,b/14,MEDICAMENT
26,tirlor,loratadine,10mg,b/10,MEDICAMENT
27,tirlor,loratadine,10mg,b/20,MEDICAMENT
28,loratan,   loratadine,10mg,b/10,MEDICAMENT
29,clarymed,  loratadine,10mg,b/10,MEDICAMENT
30,loreen,loratadine,10mg,b/10,MEDICAMENT
31,antor, loratadine,10mg,b/10,MEDICAMENT
32,lostamine, loratadine,10mg,b/20,MEDICAMENT
33,loradif,   loratadine,10mg,b/10,MEDICAMENT
34,lorid, loratadine,10mg,b/10,MEDICAMENT
35,akaryd,loratadine,10mg,b/20,MEDICAMENT
36,loratadine cpcm,   loratadine,10mg,b/10,MEDICAMENT
37,lutedine,  loratidine,10mg,b/10,MEDICAMENT
38,lostamine, loratadine,10mg,b/10,MEDICAMENT
39,restamine, loratadine,5mg/5ml,fl/60 ml,MEDICAMENT
40,clarityne, loratadine,5mg/5ml,fl/60 ml,MEDICAMENT
41,loratan,   loratadine,5mg/cac,fl/100 ml,MEDICAMENT
42,hocinor,   loratadine,"0,1%(5mg/cac)",fl/125 ml,MEDICAMENT
43,loradif,   loratadine,5mg/5ml,fl/60 ml,MEDICAMENT
44,telfast,   fexofenadine,120mg,bt/15,MEDICAMENT
45,telfast,   fexofenadine,180mg,bt/15,MEDICAMENT
46,zyrtec,cetirizine dihydrochlorhyde,10mg/ml,f/15ml,MEDICAMENT
47,alustal,   extraits d'allergeniques adsorbes sur hydroxyde d,"0,1 ir+1 ir + 10 ir/ml",coffret 3fl de 5ml   o,MEDICAMENT
48,iris,"  extrait allergenique d,pteronyssinus","10ir/1ir/0,1i",b/3,MEDICAMENT
49,alustal,   extraits d'allergeniques adsorbes sur hydroxyde d,10 ir/ml,b/1 fl de 5 ml,MEDICAMENT
50,iris,"  extrait allergenique d,pteronyssinus",10 ir/ml,b/1,MEDICAMENT
51,alustal,   extraits d'allergeniques adsorbes sur hydroxyde d,"0,1 ir + 1 ir + 10 ir/ml",coffret de 3fl,MEDICAMENT
52,unicaine,  lidocaine,1,b/10 amp de 5 ml,MEDICAMENT
53,acepral,   acide acetysalicylique,500 mg,b/20,MEDICAMENT
54,aspalgic,  acide acetysalicylique,500mg,b/20,MEDICAMENT
55,aspirine ph , acide acetysalicylique,500mg,b/20,MEDICAMENT
56,aspril ,acide acetysalicylique,500mg,b/20,MEDICAMENT
57,ecopirin,  acide acetysalicylique,500mg,b/20,MEDICAMENT
58,astapin,   acide acetysalicylique,500mg,b/20,MEDICAMENT
59,atapsin,   acide acetylsalicylique,500mg,b/20,MEDICAMENT
60,ataspin,   acide acetyl salicylique,500mg,b/20,MEDICAMENT
61,aspegic,   acetylsalicylate de lysine,100,b/20 sachets,MEDICAMENT
62,catalgine, acide acetylsalicique sels,100,b/20,MEDICAMENT
63,catalgine, acide acetylsalicique sels,500mg,b/20,MEDICAMENT
64,aspegic,   acetylsalicylate de lysine,900,b/6,MEDICAMENT
65,spridol,   acetylsalicylate de lysine,900,b/6,MEDICAMENT
66,spridol,   acetylsalicylate de lysine,900mg,b/1,MEDICAMENT
67,aspegic,   acetylsalcicylate de lysine,1,b/6 amp,MEDICAMENT
68,aspegic,   acetylsalicylate de lysine,250mg,b/20 sachets,MEDICAMENT
69,aspegic,   acetylsalicylate de lysine,500mg,b/20,MEDICAMENT
