1,abboticine,erythromycine,200,fl/60 ml,M
2,abilify,   aripiprazole,10mg,bte/28,M
3,abilify,   aripiprazole,15mg,bte/28,M
4,acebutolol g gam,  acebutolol,200mg,b/30,M
5,acebutolol ival,   acbutolol (sous forme chlorhydrate),200mg,bte/30,M
6,acebutolol ival,   acebutolol.sous forme de chlorhydrate,400mg,b/30,M
7,acediox,   acetazolamine,250mg,b/20,M
8,acemax,acetazolamide,250 mg,b/20,M
9,aciclosina,aciclovir,0.03,t/5 g,M
10,aciclovir, aciclovir,5,t/15 g,M
11,aciclovir, aciclovir,200,b/25,M
12,acidrine,  lauryl sulfate de myrtecaine/aminoacetate d'alumi,2.50/250/200,b/40,M
13,acifix,hydroxyde d'aliminium/hydroxyde de magnesium,(175mg/200mg)/5ml,fl/200 ml,M
14,acifudal,  acide fusidique,2g%,tube/15g,M
15,acifudal,  acide fusidique,2%(2g%),tube/15g,M
16,acifudal,  acide fusidique,0.01,tube/3g,M
17,aclovir,   aciclovir,3,t/10 g,M
18,aclovir,   aciclovir,0.03,t/4.5 g,M
19,actical,   pidolate de calcium,0.1,fl/125ml,M
20,actical,   calcium element,135mg/10ml s/f pido calc (10%)mg,bte/20 amp de 10 ml  o13102010,M
21,actimag,   magnesium  pidolate,0.15,fl/200ml,M
22,actocyl,   acide acetylsalicylique,80mg,bte/20,M
23,actonel,   risedronate sodium,30mg,b/28,M
24,actonel,   risedronate sodium,5mg,b/28,M
25,actonel once  aweek,   risedronate monosodique,35mg,b/4,M
26,actos, pioglitazone. sf de chlorhydrate de pioglitazone,15mg,bte/30,M
27,actos, pioglitazone. s/f de chlorhydrate de pioglitazone,30mg,bte/30,M
28,actrapid hm,   insuline humaine monocomposee,100ui/ml,fl/10ml,M
29,actrapid hm penfil,insuline rapide humaine pour stylo,100ui/ml,b/5 cart/1.5ml/3ml  oo,M
30,acuilix,   qunapril/hydrochlorothiazide,20mg/12.5mg,b/28,M
31,acuitel,   quinapril,5,b/28,M
32,acuitel,   quinapril,20,b/28,M
33,acy,   aciclovir,0.05,t/3g,M
34,acyclostad,aciclovir,0.05,t/2g,M
35,adalat,nifedipine,10,b/50,M
36,adalate lp,nifedipine lp,20,b/60,M
37,adcal, calcium carbonate,500,b/60,M
38,add- acten,hydrochlorothiazide/amiloride,50mg/5mg,b/30,M
39,adepal,levonorgestrel/ethinylestradiol,0.15/0.03,b/63,M
40,adex lp,   indapamide,1.5mg,bte/30,M
41,adipine,   nifedipine,10,b/30,M
